,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
4111,CONFIRMED,5.72716067,0.447,2.23,310.9,0.016114,3.31866,1.4,0.0575,88.57,794.0,93.96,17.92,16.0,4838.0,4.524,0.18,0.796,0.771
4112,FALSE POSITIVE,407.59415,0.0274,7.3,462.4,0.019805,9.35067,2.11,1.0289,89.95,266.0,1.18,434.66,7.7,6198.0,4.402,-0.68,0.974,0.872
4113,CANDIDATE,10.30148508,0.445,3.903,162.7,0.011853,1.1002299999999998,1.6,0.0954,88.61,934.0,180.14,18.34,12.6,5887.0,4.292,0.16,1.235,1.09
4114,CANDIDATE,17.8007815,0.928,6.547,44.5,0.007451,0.03307,1.02,0.1423,83.51,816.0,105.04,8.21,14.2,6240.0,4.3260000000000005,0.14,1.252,1.214
4115,FALSE POSITIVE,358.101884,0.5804,6.393,114.0,0.010135,6.53276,0.95,0.9525,89.95,242.0,0.81,354.0,12.8,5786.0,4.526,-0.28,0.856,0.898
4116,CANDIDATE,1.7178598409999999,0.35,0.908,66.3,0.007668,16.40314,1.45,0.0309,88.53,2212.0,5645.85,13.68,9.5,6694.0,4.084,-0.22,1.732,1.333
4119,FALSE POSITIVE,0.447861451,0.427,0.8541,265.4,0.015358000000000002,4.98597,1.42,0.0112,83.47,2263.0,6221.08,3.75,20.3,5901.0,4.553,-0.3,0.848,0.938
4120,CANDIDATE,7.3422467,0.253,2.029,366.8,0.017463,7.104080000000001,1.6,0.0724,89.47,837.0,115.93,27.25,11.8,5573.0,4.562,-0.04,0.839,0.939
4121,CANDIDATE,8.1134681,0.454,4.961,40.5,0.005947999999999999,0.40808,0.92,0.078,87.69,1127.0,381.27,11.24,10.5,6011.0,4.123,-0.3,1.409,0.963
4122,CONFIRMED,3.0362087389999997,0.111,0.9324,1820.5,0.039143,34.870470000000005,1.4,0.0283,89.75,520.0,17.31,25.71,26.0,3464.0,4.923,-0.14,0.328,0.328
