,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
0,CONFIRMED,9.48803557,0.146,2.9575,615.8,0.022344,3.20796,2.26,0.0853,89.66,793.0,93.59,24.81,35.8,5455.0,4.467,0.14,0.927,0.919
1,CONFIRMED,54.4183827,0.586,4.507,874.8,0.027954000000000003,3.02368,2.83,0.2734,89.57,443.0,9.11,77.9,25.8,5455.0,4.467,0.14,0.927,0.919
2,CANDIDATE,19.89913995,0.969,1.7822,10829.0,0.15404600000000002,7.29555,14.6,0.1419,88.96,638.0,39.3,53.5,76.3,5853.0,4.544,-0.18,0.868,0.961
3,FALSE POSITIVE,1.7369524530000002,1.276,2.4064099999999997,8079.2,0.387394,0.2208,33.46,0.0267,67.09,1395.0,891.96,3.278,505.6,5805.0,4.564,-0.52,0.791,0.836
4,CONFIRMED,2.525591777,0.701,1.6545,603.3,0.024064,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.75,40.9,6031.0,4.438,0.07,1.046,1.095
5,CONFIRMED,11.09432054,0.538,4.5945,1517.5,0.036779,0.67324,3.9,0.0992,88.11,835.0,114.81,16.36,66.5,6046.0,4.486000000000001,-0.08,0.972,1.053
6,CONFIRMED,4.13443512,0.762,3.1402,686.0,0.026133,0.37377,2.77,0.0514,83.72,1160.0,427.65,6.96,40.2,6046.0,4.486000000000001,-0.08,0.972,1.053
7,CONFIRMED,2.56658897,0.755,2.429,226.5,0.014983000000000002,0.48908999999999997,1.59,0.0374,82.17,1360.0,807.74,5.54,15.0,6046.0,4.486000000000001,-0.08,0.972,1.053
8,FALSE POSITIVE,7.36178958,1.169,5.022,233.7,0.183387,0.00485,39.21,0.082,60.92,1342.0,767.22,2.4,47.7,6227.0,3.986,0.0,1.958,1.358
9,CONFIRMED,16.06864674,0.052,3.5347,4914.3,0.062161,3.6659,5.76,0.1158,89.92,600.0,30.75,36.85,161.9,5031.0,4.485,0.16,0.848,0.801
10,CONFIRMED,2.470613377,0.818,1.7431900000000002,14231.0,0.12387100000000001,1.83538,13.04,0.0354,84.41,1339.0,761.46,8.3977,4304.3,5820.0,4.457,-0.06,0.964,0.971
11,CONFIRMED,2.2047354169999998,0.224,3.88864,6674.7,0.075522,0.37936,16.1,0.0376,87.21,2048.0,4148.92,4.602,5945.9,6440.0,4.019,0.14,1.952,1.449
12,CONFIRMED,3.5224984289999997,0.631,3.19843,9145.7,0.092086,0.65374,14.59,0.0473,85.2,1521.0,1264.67,7.541,1741.5,6225.0,4.169,-0.04,1.451,1.132
13,CONFIRMED,3.709214104,0.051,2.6302,131.1,0.010424,1.7745099999999998,1.16,0.0465,89.73,1206.0,500.46,10.888,50.6,5833.0,4.407,-0.04,1.022,0.974
14,FALSE POSITIVE,11.521446064000001,2.483,3.6399,17984.0,1.625358,1.27376,150.51,0.0978,83.13,753.0,75.88,20.75,622.1,5795.0,4.553999999999999,-0.2,0.848,0.938
15,FALSE POSITIVE,19.40393776,0.804,12.2155,8918.7,0.096729,0.03785,7.18,0.123,84.93,523.0,17.69,9.099,214.7,5043.0,4.591,-0.54,0.68,0.657
16,FALSE POSITIVE,19.221388942,1.065,4.798430000000001,74284.0,0.476633,1.57359,49.29,0.1417,88.05,698.0,55.97,31.323,2317.0,6117.0,4.496,-0.22,0.947,1.025
17,FALSE POSITIVE,16.46983774,0.292,9.4378,10479.0,0.09250900000000001,0.19353,7.94,0.1147,88.81,595.0,29.61,14.05,303.4,5152.0,4.5169999999999995,-0.2,0.786,0.741
18,CONFIRMED,9.27358173,0.387,3.2875,1288.3,0.032563,1.93557,2.47,0.0759,88.93,649.0,41.85,20.65,87.2,4856.0,4.583,-0.3,0.696,0.676
19,CONFIRMED,6.02930329,0.258,1.5821,1912.7,0.038838,13.09803,2.85,0.0585,89.5,678.0,50.04,29.31,65.4,4537.0,4.648,0.21,0.672,0.761
20,FALSE POSITIVE,2.6963706519999997,0.044,3.6129,397.9,0.017672999999999998,0.51471,1.58,0.0349,89.56,1066.0,305.34,5.827,48.2,4989.0,4.504,0.1,0.819,0.781
21,CONFIRMED,5.349553819,0.092,3.0278,831.0,0.025706,1.7378200000000001,2.55,0.0563,89.62,919.0,168.99,13.8015,60.6,5185.0,4.44,0.16,0.91,0.831
22,CONFIRMED,3.94105221,0.226,2.5984,363.3,0.017105000000000002,1.8563599999999998,1.7,0.046,88.88,1018.0,253.15,11.51,28.9,5185.0,4.44,0.16,0.91,0.831
23,CONFIRMED,8.10904807,0.025,3.596,217.4,0.013127000000000002,1.5302,1.3,0.0743,89.92,800.0,97.03,17.46,14.1,5185.0,4.44,0.16,0.91,0.831
24,FALSE POSITIVE,386.6030528,0.9765,6.8057,24927.0,0.24052800000000002,4.63335,41.5,1.0719,89.95,297.0,1.84,332.0,994.0,5543.0,4.081,0.44,1.58,1.103
25,CONFIRMED,21.67699193,0.896,3.4555,857.2,0.032666,0.60007,2.95,0.1408,87.91,530.0,18.64,24.6,34.3,4954.0,4.5,0.18,0.828,0.791
26,CONFIRMED,4.99677968,0.71,2.1717,934.7,0.030014,1.71827,2.78,0.0559,86.9,917.0,166.95,13.14,28.2,5339.0,4.552,0.18,0.847,0.931
27,CONFIRMED,4.280963604,0.424,2.875,750.8,0.025377,1.24482,2.3,0.0503,87.72,1012.0,247.87,10.64,61.8,5644.0,4.564,-0.14,0.831,0.928
28,FALSE POSITIVE,1.50635409,0.86,1.5155,2211.7,0.049899,0.8472200000000001,4.53,0.025,79.38,1452.0,1054.12,4.67,181.1,5714.0,4.563,-0.2,0.831,0.926
29,FALSE POSITIVE,670.645531,0.701,53.412,18091.0,0.131705,0.02605,14.14,1.5155,89.53,196.0,0.35,85.24,642.7,5520.0,4.466,0.48,0.983,1.03
30,FALSE POSITIVE,61.2563628,1.248,7.633,5123.3,0.33462800000000004,0.12410999999999998,39.87,0.3137,87.54,505.0,15.43,29.1,85.3,6144.0,4.402,0.0,1.091,1.093
31,CONFIRMED,38.3775486,0.468,5.588,724.2,0.024901,1.40588,2.82,0.2163,89.44,529.0,18.53,47.8,34.7,5481.0,4.369,0.16,1.036,0.915
32,CONFIRMED,41.19725502,0.045,4.6297,2213.9,0.041693,3.9471,3.86,0.217,89.96,439.0,8.76,70.75,51.2,5031.0,4.485,0.16,0.848,0.801
33,CONFIRMED,6.252962248999999,0.105,2.5819,1036.9,0.028604,3.2870699999999995,2.65,0.0617,89.68,823.0,108.3,18.94,47.1,5031.0,4.485,0.16,0.848,0.801
34,CONFIRMED,16.01308419,0.799,3.2554,1121.9,0.034369,1.10942,3.1,0.1148,88.14,593.0,29.31,24.7,33.2,5015.0,4.499,0.1,0.826,0.785
35,CONFIRMED,32.62876672,0.021,4.7971,1804.8,0.03852,2.79093,3.36,0.1889,89.98,506.0,15.55,53.95,80.0,5586.0,4.56,-0.3,0.798,0.844
36,CONFIRMED,91.7732862,0.606,6.473,652.0,0.024319999999999998,1.60558,2.12,0.3764,89.61,359.0,3.92,89.4,19.1,5586.0,4.56,-0.3,0.798,0.844
37,CANDIDATE,4.959319244,0.831,2.22739,9802.0,0.103379,1.46169,12.21,0.0565,86.15,1103.0,349.4,12.386,696.5,5712.0,4.359,0.1,1.082,0.976
38,FALSE POSITIVE,2.7012878010000003,1.016,3.3827,860.4,0.06584,0.02818,6.54,0.0365,62.69,1222.0,527.81,2.22,48.3,5550.0,4.468,-0.04,0.91,0.889
39,CONFIRMED,4.49876511,0.312,3.7362,460.0,0.019816999999999998,0.67106,2.1,0.0542,88.0,1133.0,389.62,8.95,29.5,6075.0,4.486000000000001,-0.12,0.969,1.048
40,FALSE POSITIVE,19.651209505,0.723,5.2514,11766.0,0.10695299999999999,0.6755899999999999,12.42,0.1433,88.27,730.0,67.03,23.98,513.4,6074.0,4.391,-0.12,1.063,1.014
41,CONFIRMED,5.412203927,0.787,2.9472,601.6,0.024775,0.5108699999999999,2.94,0.0591,85.12,1093.0,337.68,9.25,166.7,5779.0,4.3389999999999995,-0.06,1.087,0.941
42,CONFIRMED,41.43958662,0.355,10.5989,2793.1,0.048175,0.28189000000000003,5.5,0.2288,89.31,516.0,16.72,29.47,141.1,5468.0,4.367,0.22,1.046,0.93
43,CONFIRMED,8.35389523,0.023,2.2514,1041.6,0.029305,6.73215,2.52,0.0768,89.95,790.0,91.9,29.18,43.4,5592.0,4.582,-0.28,0.787,0.862
44,CONFIRMED,4.1255434719999995,0.597,3.1744,1487.3,0.036795999999999995,0.67162,4.43,0.0529,85.95,1243.0,565.35,8.45,128.6,6174.0,4.417,0.1,1.103,1.162
45,CONFIRMED,2.816504904,0.105,2.5058700000000003,16814.0,0.117059,2.09079,12.21,0.0383,89.37,1219.0,521.13,9.571,1406.8,5532.0,4.452,0.14,0.955,0.941
46,FALSE POSITIVE,33.93373447,0.812,14.561,8503.7,0.095386,0.0371,7.34,0.1881,86.45,430.0,8.11,13.12,236.1,5040.0,4.628,-0.24,0.705,0.782
47,CONFIRMED,3.6899200989999996,0.151,2.6557,426.7,0.018878,1.7079799999999998,1.89,0.0469,89.19,1147.0,408.99,10.71,35.6,5880.0,4.518,-0.06,0.917,1.01
48,CONFIRMED,4.431238488,0.405,3.15,1010.9,0.029330000000000002,1.01996,3.25,0.0529,87.72,1104.0,351.23,10.19,71.1,5714.0,4.428,0.16,1.015,1.007
49,CONFIRMED,11.37936986,0.911,2.6255,1023.5,0.035628,0.63438,3.95,0.0993,86.8,806.0,99.68,16.31,37.9,5714.0,4.428,0.16,1.015,1.007
50,CONFIRMED,26.39432897,0.602,3.573,1510.9,0.03681,2.93923,3.07,0.1635,89.28,489.0,13.49,47.7,48.2,5129.0,4.595,0.02,0.763,0.846
51,CONFIRMED,13.57078281,0.866,3.3539,511.7,0.023908000000000002,0.49865,2.64,0.1096,87.07,785.0,89.61,16.93,88.4,5854.0,4.406000000000001,-0.12,1.012,0.951
52,CONFIRMED,7.12594387,0.898,3.0014,192.4,0.015119999999999998,0.23879,1.79,0.0711,84.02,997.0,233.31,8.62,47.1,5779.0,4.3389999999999995,-0.06,1.087,0.941
53,FALSE POSITIVE,7.442652004,0.137,2.3078,24446.0,0.14393599999999998,7.48712,15.03,0.0742,89.72,967.0,206.78,27.99,835.6,6108.0,4.468999999999999,-0.3,0.956,0.981
54,CONFIRMED,16.38489988,0.001,3.0249,1127.1,0.029758,5.4538,2.0,0.1084,90.0,433.0,8.35,42.62,28.9,4126.0,4.6610000000000005,0.04,0.615,0.633
55,CONFIRMED,7.8774163,0.041,2.0805,1306.1,0.03209,8.09685,2.16,0.0665,89.92,553.0,22.18,29.84,38.7,4126.0,4.6610000000000005,0.04,0.615,0.633
56,CONFIRMED,36.4454001,0.028,4.007,1122.3,0.029681,5.21237,1.99,0.1847,89.98,332.0,2.88,71.53,21.7,4126.0,4.6610000000000005,0.04,0.615,0.633
57,CONFIRMED,3.7287321469999997,0.558,2.683,5226.5,0.068178,1.24118,6.02,0.0455,86.7,1023.0,258.34,9.7,345.2,5497.0,4.577,-0.1,0.809,0.907
58,CANDIDATE,40.4195037,0.911,3.362,6256.0,0.08806900000000001,1.8954900000000001,7.51,0.2062,89.05,467.0,11.29,54.7,36.9,5446.0,4.507,-0.54,0.781,0.714
59,CONFIRMED,2.243380573,0.915,1.1196,821.7,0.032248,1.50915,1.99,0.028,82.88,822.0,107.6,7.38,38.9,4149.0,4.698,-0.32,0.564,0.578
60,FALSE POSITIVE,10.405998015,0.324,6.5036,14489.0,0.111248,0.38489,11.23,0.0855,88.57,833.0,113.94,13.012,745.2,5746.0,4.393,-0.54,0.924,0.77
61,CONFIRMED,2.337437946,0.28,1.9982,971.2,0.027998000000000002,2.41093,2.34,0.0325,88.19,1070.0,311.16,8.86,82.4,5005.0,4.595,0.14,0.765,0.85
62,CANDIDATE,7.2406612,1.198,0.558,556.4,0.232818,8.66412,19.45,0.0692,87.62,734.0,68.63,28.8,13.7,5005.0,4.595,0.14,0.765,0.85
63,CANDIDATE,3.43591631,0.624,3.133,23.2,0.004612,0.47024,0.55,0.0437,84.62,1272.0,617.61,6.65,8.7,5779.0,4.3389999999999995,-0.06,1.087,0.941
64,CONFIRMED,11.59822233,0.679,2.5237,2804.5,0.051287,3.14915,2.65,0.0798,88.62,396.0,5.82,28.2,71.0,3688.0,4.79,0.0,0.473,0.503
65,CONFIRMED,6.575315881,0.39,4.3084,2793.3,0.049152,0.6439199999999999,5.31,0.067,88.03,1015.0,251.38,11.37,221.1,5992.0,4.415,-0.32,0.989,0.927
66,CONFIRMED,7.275040843999999,0.547,7.5377,3001.0,0.051358,0.10578,4.86,0.0732,85.29,833.0,113.64,6.66,312.1,5485.0,4.556,0.21,0.867,0.986
67,CONFIRMED,19.27153892,0.031,2.7594,1219.8,0.031585,8.48241,1.93,0.1171,89.97,393.0,5.66,55.02,37.1,4077.0,4.702,-0.24,0.56,0.576
68,CONFIRMED,10.06524317,0.628,1.369,1053.3,0.031152999999999997,18.09666,1.91,0.076,89.22,488.0,13.43,45.9,30.3,4077.0,4.702,-0.24,0.56,0.576
69,CONFIRMED,12.3935651,0.883,3.8896,916.6,0.032536,0.27483,2.66,0.0983,86.13,677.0,49.68,13.07,35.8,5557.0,4.603,-0.4,0.75,0.832
70,CONFIRMED,43.84439721,0.852,6.802,615.2,0.025934,0.22039,2.87,0.2395,88.27,531.0,18.77,28.2,83.7,5854.0,4.406000000000001,-0.12,1.012,0.951
71,FALSE POSITIVE,3.341913228,1.213,3.813,725.3,0.243351,0.01791,21.55,0.0415,56.44,1032.0,268.67,2.19,39.0,5295.0,4.551,-0.02,0.811,0.853
72,FALSE POSITIVE,1.626630225,1.26,2.1145,1620.6,0.305244,0.09631,32.43,0.026,58.03,1547.0,1355.88,2.38,103.6,5735.0,4.41,-0.18,0.973,0.889
73,CONFIRMED,2.711504086,0.023,3.0099,837.5,0.026532999999999998,0.9161799999999999,3.12,0.0401,89.81,1420.0,960.79,7.088,64.5,6214.0,4.442,0.07,1.076,1.169
74,CONFIRMED,7.21203748,0.012,4.0491,950.4,0.028255000000000002,0.9986700000000001,3.32,0.077,89.95,1025.0,260.58,14.003,51.5,6214.0,4.442,0.07,1.076,1.169
75,FALSE POSITIVE,14.1798187,0.1601,2.505,459.9,0.019561000000000002,7.767460000000001,1.88,0.1137,89.95,711.0,60.35,43.54,11.2,5799.0,4.539,-0.1,0.878,0.975
76,CONFIRMED,8.47237911,0.022,2.7245,1123.5,0.030119,3.8632800000000005,2.59,0.0778,89.95,751.0,75.44,24.47,47.6,5354.0,4.587,-0.08,0.788,0.884
77,CONFIRMED,60.4189369,0.094,5.039,931.3,0.027422000000000002,4.2644400000000005,2.36,0.2884,89.94,390.0,5.49,93.71,20.1,5354.0,4.587,-0.08,0.788,0.884
78,CONFIRMED,12.611904345,0.55,5.1497,6105.6,0.073758,0.61222,7.4,0.1058,88.17,753.0,76.15,17.27,277.2,5795.0,4.508,-0.02,0.919,0.992
79,FALSE POSITIVE,1.433769925,1.268,1.8868,1976.3,0.318591,0.1372,46.58,0.0256,58.99,1920.0,3209.29,2.46,112.6,6017.0,4.22,0.02,1.339,1.083
80,FALSE POSITIVE,10.31872301,1.215,3.836,871.7,0.247006,0.03681,28.59,0.0944,78.15,876.0,139.26,5.92,38.2,5927.0,4.409,0.07,1.06,1.05
81,CONFIRMED,2.5391831469999997,0.238,2.4282,382.1,0.017724,1.46261,2.06,0.0355,88.28,1332.0,743.09,7.93,38.9,5519.0,4.35,0.14,1.062,0.921
82,CONFIRMED,6.770300385,0.838,2.0844,1304.0,0.037413999999999996,1.45164,2.77,0.064,86.84,812.0,102.87,15.21,50.8,5653.0,4.656000000000001,-0.84,0.679,0.767
83,FALSE POSITIVE,0.44429196600000004,1.258,2.0792,10967.0,0.39610500000000004,0.42351000000000005,27.51,0.0101,39.97,1836.0,2706.26,1.641,299.7,5255.0,4.678,-0.72,0.636,0.709
84,CANDIDATE,10.181584004,0.92,3.5089,5741.1,0.084708,0.38059,7.73,0.0884,85.87,812.0,102.91,12.776,183.6,5988.0,4.541,-0.52,0.836,0.885
85,CONFIRMED,20.06036336,0.556,3.3203,1494.7,0.036455,3.09445,1.96,0.115,89.21,361.0,4.0,40.4,35.2,3950.0,4.754,-0.46,0.493,0.502
86,CONFIRMED,46.1842039,0.013,4.758,1394.7,0.033974000000000004,3.99779,1.83,0.2005,89.99,273.0,1.32,76.67,26.0,3950.0,4.754,-0.46,0.493,0.502
87,CONFIRMED,23.9800854,0.95,5.351,104.0,0.011879,0.05654,1.31,0.1602,85.45,649.0,41.94,11.98,17.1,5854.0,4.406000000000001,-0.12,1.012,0.951
88,CONFIRMED,7.82502168,0.708,2.186,520.8,0.022312000000000002,2.54508,1.2,0.0614,87.99,494.0,14.05,20.2,15.9,3950.0,4.754,-0.46,0.493,0.502
89,CONFIRMED,3.895936525,0.524,2.3111,8544.8,0.08689,2.31292,7.34,0.046,87.56,1005.0,241.62,12.29,370.8,5557.0,4.592,-0.3,0.774,0.866
90,CONFIRMED,22.36646466,0.4,5.228,986.8,0.028938,1.12517,2.32,0.1449,89.26,536.0,19.45,31.0,32.1,5395.0,4.615,-0.34,0.734,0.821
91,CONFIRMED,1.625522174,0.076,2.38963,7969.0,0.08054299999999999,1.28198,9.73,0.0265,89.22,1579.0,1467.41,5.6364,799.7,5539.0,4.322,0.16,1.106,0.935
92,CANDIDATE,19.620346923,0.458,2.0038,21725.0,0.137595,23.21659,13.6,0.1389,89.66,643.0,40.39,77.9,340.5,5710.0,4.492,-0.1,0.905,0.928
93,FALSE POSITIVE,7.544039,1.175,6.222,322.6,0.194187,0.0039299999999999995,17.47,0.0731,58.94,838.0,116.46,2.28,14.2,5657.0,4.567,-0.18,0.824,0.919
94,CANDIDATE,9.02930689,0.024,3.1449,1019.8,0.028718,2.66613,2.57,0.0796,89.94,757.0,77.75,22.57,53.9,5349.0,4.526,-0.12,0.82,0.824
95,FALSE POSITIVE,10.328035714,0.281,7.7915,16918.0,0.118805,0.23528000000000002,13.28,0.0888,88.54,843.0,119.31,10.988,636.8,5627.0,4.359,-0.1,1.024,0.874
96,CONFIRMED,143.2063047,0.379,8.9302,10566.0,0.094044,1.8344900000000002,8.9,0.5336,89.83,308.0,2.14,125.8,138.8,5485.0,4.556,0.21,0.867,0.986
97,CONFIRMED,6.164876,0.646,3.262,55.8,0.0071920000000000005,0.6966399999999999,0.79,0.0648,86.69,1021.0,256.35,11.19,14.4,5854.0,4.406000000000001,-0.12,1.012,0.951
98,CONFIRMED,60.32494216,0.224,6.6188,20280.0,0.128744,2.37656,12.19,0.2998,89.83,411.0,6.77,77.04,347.2,5485.0,4.556,0.21,0.867,0.986
99,CONFIRMED,29.1598615,0.3619,4.803,488.0,0.02018,1.9273900000000002,1.91,0.1847,89.38,524.0,17.85,44.2,11.6,5485.0,4.556,0.21,0.867,0.986
100,FALSE POSITIVE,1.540397253,1.225,2.1541,816.1,0.257087,0.061020000000000005,25.69,0.0264,51.56,1470.0,1105.68,1.971,38.8,5663.0,4.53,0.21,0.915,1.034
101,FALSE POSITIVE,2.99025443,0.014,5.414,589.2,0.021279,0.17407,1.7,0.0367,89.81,918.0,168.45,4.349,48.5,4667.0,4.578,0.1,0.731,0.737
102,CONFIRMED,1.5947453740000002,0.514,1.9604,15044.0,0.115879,1.7754400000000001,11.3,0.0258,85.25,1539.0,1329.42,6.203,1009.3,5934.0,4.4910000000000005,-0.38,0.893,0.901
103,CANDIDATE,4.783002698,0.003,2.335,1008.7,0.028314999999999996,3.45234,2.5,0.0535,89.99,886.0,145.48,16.102,70.6,5170.0,4.574,0.18,0.807,0.891
104,CONFIRMED,20.50588921,0.26,4.0595,2105.5,0.041039,2.64998,3.41,0.1326,89.62,518.0,17.06,38.91,78.5,4905.0,4.544,-0.04,0.761,0.739
105,CONFIRMED,3.340218842,0.466,1.9104,1632.6,0.037683,3.2358599999999997,2.03,0.0348,87.85,656.0,43.73,12.4,71.6,3950.0,4.754,-0.46,0.493,0.502
106,FALSE POSITIVE,2.507089906,1.255,2.0067,1339.2,0.295115,0.11002999999999999,30.26,0.0365,67.79,1326.0,730.47,3.32,64.9,5926.0,4.506,-0.04,0.939,1.03
107,CONFIRMED,18.64932728,0.08,4.4056,893.6,0.027096,1.97596,3.12,0.139,89.86,701.0,57.13,33.12,46.1,5775.0,4.405,0.16,1.053,1.026
108,CONFIRMED,4.90144976,0.529,4.1654,140.7,0.011136,0.3709,1.7,0.0586,86.1,1262.0,598.74,7.78,50.6,5847.0,4.191,0.26,1.402,1.113
109,CONFIRMED,9.75192101,0.949,4.793,418.0,0.024041999999999997,0.044,2.76,0.0902,80.97,870.0,135.66,6.05,28.5,5775.0,4.405,0.16,1.053,1.026
110,CONFIRMED,38.5576546,0.911,5.794,993.0,0.034980000000000004,0.19755999999999999,4.02,0.2255,87.91,550.0,21.71,24.9,39.7,5775.0,4.405,0.16,1.053,1.026
111,CONFIRMED,3.5256325389999996,0.12,2.59959,22335.0,0.13372,2.43681,11.58,0.0431,89.41,975.0,213.12,11.699,1996.7,5150.0,4.572,0.08,0.793,0.855
112,CANDIDATE,34.84398644,0.934,2.9315,4523.6,0.080046,1.86832,7.61,0.1971,88.92,511.0,16.1,49.31,76.8,5509.0,4.482,-0.16,0.871,0.84
113,CONFIRMED,7.748094238999999,0.517,3.5957,2472.1,0.046615,1.06292,5.52,0.081,88.02,964.0,204.39,15.0,113.2,5973.0,4.439,0.36,1.085,1.181
114,CONFIRMED,23.96793669,0.416,3.827,1182.3,0.03141,3.03325,1.8,0.1322,89.47,329.0,2.77,45.2,27.5,3747.0,4.728,0.1,0.524,0.536
115,CONFIRMED,8.29561738,0.888,1.3421,824.3,0.03178,4.18931,1.82,0.0652,87.95,469.0,11.39,24.8,17.9,3747.0,4.728,0.1,0.524,0.536
116,CONFIRMED,8.11437482,0.573,2.2736,1558.0,0.037204,3.76716,2.1,0.0649,88.61,460.0,10.55,23.58,56.4,3692.0,4.753,0.28,0.517,0.553
117,FALSE POSITIVE,38.036729482,0.501,4.34617,82872.0,0.27018000000000003,6.21385,27.5,0.2252,89.63,500.0,14.81,78.037,1300.0,5575.0,4.521,0.36,0.932,1.051
118,CANDIDATE,4.64090031,1.28,35.512,2450.6,0.333559,0.00218,30.09,0.0503,19.01,1155.0,421.08,1.354,296.9,6463.0,4.5,-1.66,0.826,0.786
119,FALSE POSITIVE,3.747838198,1.121,5.0642,616.0,0.151387,0.00878,13.65,0.046,53.12,1031.0,266.76,1.868,138.2,5514.0,4.569,-0.04,0.826,0.926
120,CONFIRMED,14.74914825,0.173,6.0995,430.2,0.018864,0.55575,2.89,0.1221,89.47,874.0,137.91,18.56,107.4,5847.0,4.191,0.26,1.402,1.113
121,CONFIRMED,21.81295996,0.053,4.3791,1175.4,0.030951999999999997,2.39175,3.38,0.1495,89.92,639.0,39.33,39.183,37.8,5601.0,4.41,0.08,0.999,0.934
122,FALSE POSITIVE,7.91936937,0.733,3.3148,15148.0,0.121984,1.1307399999999999,10.34,0.0737,87.3,814.0,104.0,15.534,389.0,5690.0,4.588,-0.4,0.776,0.852
123,CANDIDATE,1.0284365229999999,1.5734,1.8606,8098.0,0.673134,0.43236,72.77,0.0197,57.3,1947.0,3400.48,2.891,89.6,6228.0,4.428,-0.44,0.99,0.959
124,CONFIRMED,15.37562369,0.692,3.3169,15337.0,0.12103,2.43887,11.01,0.1121,88.73,600.0,30.54,31.24,166.0,4986.0,4.496,0.16,0.833,0.793
125,CONFIRMED,8.10363271,0.047,3.161,887.9,0.026361000000000002,2.33533,2.11,0.0712,89.87,687.0,52.82,20.09,39.3,4861.0,4.574,-0.08,0.732,0.733
126,CONFIRMED,4.71510843,0.258,2.506,417.5,0.018268,2.4235900000000004,1.46,0.0496,88.96,823.0,108.84,14.18,21.3,4861.0,4.574,-0.08,0.732,0.733
127,CONFIRMED,6.365839713,0.524,2.9721,780.7,0.026275,1.4110200000000002,2.44,0.0659,87.92,914.0,165.33,14.46,70.8,5776.0,4.553999999999999,-0.18,0.849,0.939
128,FALSE POSITIVE,5.97581754,0.941,3.065,962.4,0.035468,0.14724,3.86,0.066,81.71,1047.0,284.25,6.53,50.3,6108.0,4.471,-0.08,0.997,1.072
129,FALSE POSITIVE,2.4467373169999997,1.241,4.7211,1177.9,0.278526,0.016909999999999998,26.25,0.0351,44.81,1261.0,597.19,1.749,110.2,5764.0,4.548,-0.12,0.863,0.959
130,CONFIRMED,3.04033046,0.736,1.8411,10859.0,0.104023,2.31195,8.99,0.0374,85.95,1021.0,257.29,10.41,568.2,5035.0,4.519,-0.06,0.791,0.754
131,CONFIRMED,15.33528675,0.773,3.897,3081.4,0.056,0.8165899999999999,5.0,0.1179,87.95,610.0,32.67,21.65,86.6,5251.0,4.581,0.21,0.817,0.926
132,CONFIRMED,7.95825328,0.706,4.377,50.0,0.006915,0.29918,1.06,0.0809,85.95,1074.0,314.15,10.01,14.7,5847.0,4.191,0.26,1.402,1.113
133,CONFIRMED,31.33046135,0.798,5.176,5073.8,0.072904,0.70448,6.5,0.1898,88.62,481.0,12.61,33.19,117.2,5251.0,4.581,0.21,0.817,0.926
134,FALSE POSITIVE,3.9043425,0.709,3.831,16228.0,0.125229,0.39988,12.28,0.0484,84.06,1104.0,351.05,6.856,323.4,5810.0,4.526,-0.06,0.898,0.989
135,FALSE POSITIVE,9.286358079,0.377,3.49949,44791.0,0.19639,2.67897,17.61,0.081,89.06,796.0,95.03,23.029,1671.1,5670.0,4.523,-0.4,0.821,0.82
136,FALSE POSITIVE,3.951405455,1.276,2.1862,2453.9,0.331342,0.19337000000000001,31.44,0.0482,76.4,1133.0,388.71,5.42,117.2,6046.0,4.539,-0.38,0.869,0.953
137,CONFIRMED,23.65369415,0.008,8.2183,3341.8,0.05219,0.41907,7.89,0.1658,89.98,731.0,67.65,23.142,266.3,5739.0,4.191,0.3,1.384,1.083
138,CONFIRMED,13.23352214,0.014,6.7372,504.6,0.020278,0.3884,3.06,0.1126,89.95,888.0,146.67,15.32,49.1,5739.0,4.191,0.3,1.384,1.083
139,CONFIRMED,6.15560285,0.235,4.9843,285.0,0.015336,0.40662,2.32,0.0676,88.56,1146.0,406.94,9.34,35.1,5739.0,4.191,0.3,1.384,1.083
140,CONFIRMED,2.090811305,0.746,3.388,115.9,0.010686,0.1588,1.62,0.0329,77.03,1642.0,1718.04,3.32,19.9,5739.0,4.191,0.3,1.384,1.083
141,CONFIRMED,3.180027898,0.196,3.5797,120.3,0.009989,0.5756,1.53,0.0439,88.34,1458.0,1066.86,6.751,50.4,5847.0,4.191,0.26,1.402,1.113
142,CONFIRMED,50.4467417,0.379,7.159,370.3,0.017669999999999998,0.9779399999999999,2.67,0.2747,89.57,568.0,24.64,50.9,19.4,5739.0,4.191,0.3,1.384,1.083
143,CONFIRMED,11.76307164,0.048,2.9076,1037.3,0.028519,4.37951,2.35,0.0954,89.91,616.0,33.99,31.76,48.9,4959.0,4.603,0.16,0.756,0.849
144,CONFIRMED,56.2279271,0.7,3.57,862.7,0.028682999999999997,4.47051,2.37,0.2707,89.56,366.0,4.22,90.7,20.9,4959.0,4.603,0.16,0.756,0.849
145,FALSE POSITIVE,2.384052875,1.178,3.0918,1268.1,0.222925,0.03902,17.06,0.0308,58.76,1010.0,244.87,2.27,50.5,4794.0,4.58,-0.22,0.701,0.683
146,CONFIRMED,7.953547,0.3,2.6312,875.4,0.026448000000000003,3.48717,2.25,0.0712,89.24,696.0,55.37,22.68,38.4,4768.0,4.5360000000000005,0.18,0.779,0.759
